,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5576.0,5345.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,275.0,1126.0,1557.0,1857.0,2534.0,5071.0,1901.0,2314.0,2428.0,2058.0,2699.0,1511.0,2445.0,2348.0,4378.0,3733.0,3220.0
19,0.0,0.0,353.0,1305.0,1812.0,2507.0,5353.0,2183.0,2287.0,2023.0,1339.0,2671.0,1678.0,2146.0,1871.0,4545.0,3706.0,2997.0
20,0.0,0.0,0.0,919.0,1426.0,2415.0,5614.0,2444.0,2195.0,2437.0,1089.0,2285.0,1978.0,2545.0,1613.0,4845.0,3614.0,2611.0
21,0.0,0.0,0.0,0.0,507.0,2108.0,6150.0,2812.0,1893.0,2912.0,1496.0,1366.0,2786.0,3035.0,2020.0,5662.0,2891.0,1900.0
22,0.0,0.0,0.0,0.0,0.0,1682.0,6310.0,2972.0,2053.0,3419.0,2003.0,858.0,3175.0,3542.0,2527.0,5828.0,2383.0,1508.0
23,0.0,0.0,0.0,0.0,0.0,0.0,5465.0,2247.0,776.0,4457.0,3041.0,1439.0,3804.0,4649.0,3565.0,6164.0,1527.0,2284.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.0,4972.0,5937.0,6700.0,6738.0,4819.0,5954.0,6990.0,5282.0,5649.0,7583.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,3127.0,3455.0,3222.0,2132.0,3144.0,3745.0,4452.0,3344.0,4067.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4236.0,2820.0,1964.0,3512.0,4437.0,3344.0,5886.0,1661.0,2809.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1725.0,4272.0,1567.0,211.0,1524.0,4434.0,5850.0,4598.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2864.0,2528.0,1851.0,534.0,5395.0,4242.0,3190.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4016.0,4400.0,3385.0,6658.0,2125.0,844.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,2967.0,3071.0,4968.0,4513.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.0,4451.0,5867.0,4721.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5907.0,4766.0,3714.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7502.0,7420.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2749.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
